Name,Occurrence,Ambig 3,Ambig 2,Ambig 1,Ambig 0
xi chen,23,7.02,7.02,7.02,7.02
nan zhang,37,7.02,7.02,7.02,7.02
biao chen,25,7.02,7.02,7.02,7.02
min yang,12,7.01215800450167,6.64184814818475,5.63113422168071,3.78
yang wu,3,6.99865869654293,6.74454872981112,5.82169939393186,1.62
cheng wang,15,6.96049459771613,6.50257872764915,5.41745984408453,2.7
min wu,42,6.93082669418342,6.78,6.78,6.78
bing liu,117,6.90731541701171,6.29977345610941,5.19947520716478,4.2
wei tang,15,6.86532275304891,6.2739098100992,5.24419763612273,2.16
wen zhang,7,6.81423920526095,6.47414574838757,5.46649297593385,3.78
rui li,23,6.81139822860111,6.50938338059891,5.94,5.94
rong li,1,6.80770718336459,6.43912353912595,5.4311884526935,1
zheng liu,20,6.79152669284409,6.4478210944026,5.67977390888056,4.08
qiang wu,43,6.7881365642341,6.20062777100881,4.99266208434438,3.54
jia wang,44,6.78,6.78,6.78,6.78
gang xu,35,6.78,6.78,6.78,6.78
qiang ji,54,6.78,6.78,6.78,6.78
wei zheng,7,6.76468649380714,6.18165049956931,5.20923093905673,2.46
hong zhao,15,6.75119610297695,6.27025919850703,5.4,5.4
fang li,9,6.74314681801572,6.53830663006643,5.87524788593259,2.16
jun hu,30,6.71204524742025,6.17344828265026,5.38328004863877,4.08
hong yu,12,6.67847062454103,6.20451238508228,5.05325332428407,3.24
yong zhou,20,6.65705283789821,6.20582026649265,5.26040875824224,2.52
jie lin,6,6.63367724278538,6.14981370420648,5.18594941993796,1.38
li zhu,7,6.62903277176924,6.18345343850528,5.26253509912088,3.24
yong lin,4,6.62192013043054,6.19506033090514,5.21867407885431,1.08
jian zhou,23,6.60977380519905,6.48,6.48,6.48
li lu,5,6.60329478355209,6.17161426992198,5.29586360168563,1.62
mi lu,51,6.6,6.6,6.6,6.6
dan chen,17,6.58010107616079,6.15646965840962,5.22175236554334,3.78
jian lin,3,6.5748906136156,6.21273770424362,5.4404745448429,1.08
yue li,17,6.56705373614428,6.15051021333309,5.4,5.4
li sun,2,6.56451781495936,6.1187877525614,5.27955390894118,1.08
tao jiang,194,6.54,6.54,6.54,6.54
rong zhang,13,6.53059121012611,6.15542025677956,5.25751502040577,4.86
hui huang,8,6.52690696971227,6.19220230219516,5.26836111590818,2.7
fei liu,23,6.52629703151671,6.11015767686853,5.35097882448453,4.08
yan gao,22,6.48,6.48,6.48,6.48
ting liu,19,6.48,6.48,6.48,6.48
jian sun,23,6.48,6.48,6.48,6.48
lei he,91,6.48,6.48,6.48,6.48
hai huang,35,6.48,6.48,6.48,6.48
xing li,41,6.48,6.48,6.48,6.48
ying sun,20,6.48,6.48,6.48,6.48
chao zhang,23,6.48,6.48,6.48,6.48
jin xu,25,6.48,6.48,6.48,6.48
hui xu,14,6.47954410918989,6.11187274160136,5.21476141646779,4.32
fang zhang,2,6.46865885270919,6.25023341005972,5.6873747390553,1
dong chen,12,6.46266392599866,6.07164096155695,5.09016181337615,1.62
ming huang,1,6.37371156602246,6.04820611533172,5.09894759799732,1
bin huang,4,6.34588365406878,5.93406697259526,5.03106810765593,1.62
ming xu,31,6.32746037639891,5.96974457355472,5.04707149218337,3.18
chen liu,8,6.32385064111665,5.77715026356184,4.82984936065421,3.78
xiao wang,10,6.31961546167776,5.92645437523668,4.96174219196411,2.7
